,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-000320,1.0166450031,0.7104322602,0.6926925199,0.7141737437,1.0218454422,1.2671690466,1.0428401256,0.6838387116,1.2311751348,1.0353431442,1.0883948234,-0.349841100256,-0.015302107023799999,0.0485804058541,-0.288976588769,-0.05593183013119999,-0.06785749014550001,-0.4621122964,,-0.16026460884000002,-0.447364095525,0.00564722938787,5.314465594,5.8804115082,7.9404286756,9.9576760084,9.3419284558,10.6413159787,6.0969349725,7.73053829,1.9815038142,6.9555691331,1.0545556247,-0.06966111983478473,-0.021064015850005346,0.1918880675851049,-0.15934940073795162,-0.16686195894323946,0.034933350118966866,-0.12398257499196784,-0.07054135268011644,-1.7374265975263228,-1.1267651002628853,-0.06853834557770958
ACH-000060,1.1393713227,0.5632873587,0.7297959248,1.1398863574,1.0719324542,1.1150782855,1.0801405119,0.5285969479,1.0510403091,1.0887139889,1.1200498937,-0.048995732035300006,0.20321490465999997,0.37990854605499996,0.185504645943,-0.147772448344,-0.112582038279,-0.216639442408,,-0.274117558394,0.07554015121799999,0.37789462677,4.595257902,2.2011374832,8.7433740705,9.7246510837,10.0702207344,11.4148698024,5.5029473088,7.3226789027,2.6553974789,8.2775074543,3.3928499033,0.16320815172970257,-0.015446680304527246,0.2786422202972899,-0.5920791804694199,-0.18735203557841007,-0.005504971336894095,-0.08232668170541928,0.13876109793967156,-0.47158825360531464,-0.6746014570415162,0.02143381338985091
ACH-000164,4.8742356455,1.1270847488,0.7213213344,1.5056787594,1.3988390733,1.0657883734,1.4200236918,0.7154426351,0.7451108623,1.1733553509,1.1987277191,-0.07794705255369999,-0.278177783387,,,-0.130133700394,-0.0747952342116,,,,-0.0528305141935,0.302100227747,7.2149339476,5.6763718399,10.4027344944,10.6328837204,11.1396836177,11.27756944,7.6704774413,7.8591186582,0.6016294973,7.7683850379,1.8437073097,-0.032158687238278645,0.031155638508034343,0.18310462820792814,-0.012330364810335781,-0.3587677354281067,0.0064316823036113645,-0.1600164530547188,0.0300338184080388,-0.20305064468132852,-0.29905038996046523,0.07847855051573355
ACH-000085,0.7303880164,0.777400532,1.4759378781,1.9304216489,1.4377252476,1.1278904906,1.5507649144,0.7247824865,1.1215399414,1.1406379988,1.1786831912,,,,,,,,,,,,4.6682424964,2.7142239888,7.4720996165,9.0681518592,9.9919593914,11.1441876125,8.371212548,7.5729011146,1.9226049931,8.0775903243,1.2237880744,0.2082037249545511,-0.04657899445599727,0.0700728133812526,-1.2563413033253437,-0.3196580194181918,-0.10805226720030524,0.003637907729116069,-0.04307107689243069,-0.8558154434160836,-0.7366272111312362,-0.25965124705248216
ACH-000332,1.5149592626,0.854760414,0.624776892,1.227784192,1.8656236727,1.234239182,1.9515291331,0.6156456004,1.0362958975,0.7576944051,1.3511604457,,,,,,,,,,,,9.4062415561,7.4818200837,9.124269983,9.6431056551,10.4162935456,11.3116663075,6.0115760884,7.9240941341,0.9743514234,9.4529018128,5.0328528267,0.1605057188479462,0.01468163538803316,0.167069967349594,-1.0463082783976345,-0.11519044553623985,-0.2025292441399975,-0.19717334043481866,0.042527971544993846,-1.1991965463611312,-1.304172564853371,0.010820910430258485
ACH-000042,0.9439419203,0.6179628434,0.8004526998,1.291204937,1.1955081788,0.9215817164,1.0512144411,0.5764322667,1.1281008128,0.9633126392,1.2211657229,-0.209380862958,-0.0699376983096,,,-0.04821946748380001,-0.691654078892,,,,-0.123992648414,0.34197963306100004,5.8376818091,2.422171492,7.6386608168,9.2293582325,9.2687151451,10.4305998732,4.2006514898,5.5554675708,1.6089231777,7.2498411682,1.9682560933,0.10329825355537667,0.0446152179157889,0.19209893380896328,-0.31780269033686903,-0.21313042796664344,0.03281274940559938,-0.18718410885056502,-0.004662695531916174,-0.44086399526389014,-0.10870330795958294,-0.10018555669767201
ACH-000114,1.3980248452,1.3464633864,0.9612615947,1.3617425742,1.3135471617,0.9627465812,1.287702211,0.9716428364,0.6869866648,1.0008813783,1.0646926347,-0.868424494619,0.0168607679734,0.175193885106,-0.0381095853464,-0.108650253597,-0.418701596782,-0.0462573725482,,-0.044806775802300004,-0.348953157999,-0.0140700410729,5.835620071,6.8504822108,8.3686278411,9.3009992036,9.3154528164,10.1453459941,5.3829655219,7.4757124631,1.7644155382,9.1694109112,3.4934931128,0.08293027274423889,-0.09378250755897245,0.07029783756417006,-0.7148349193552828,-0.15519000905230432,-0.1404568542511999,0.004215005707257663,0.08871908146450024,-0.7936993375190259,-0.4213149862488517,0.07015038653768735
ACH-000108,0.745100533,0.8323048793,0.7376201641,1.531157828,1.4335209611,1.1270074091,1.396176177,1.0960601703,0.7279377561,1.0234985085,0.789294171,-0.047755512642599994,-0.000912574414138,,,-0.162326561098,-0.320441180928,,,,-0.208203230762,0.160587780731,5.4545341312,2.5351251537,8.8778674504,10.1382552051,9.9023499387,10.7444914333,2.8350793523,6.3521873698,1.5496479574,9.7134810516,3.0429468354,-0.0019612843252958673,0.027523223109713304,0.14768093372834817,-0.11106472671934609,-0.032225010135731424,-0.4826939670374822,-0.04799847280560354,0.09032570597484024,-0.7401917613586755,-0.5445922079119438,-0.0006277852400572298
ACH-000354,1.0552940124,0.7772647529,0.6962121999,1.6946202337,1.1114399476,1.1666477266,1.1033144311,0.693241535,0.729335741,1.8220253101,1.2277144091,,,,,,,,,,,,4.8977629931,4.8579008857,8.0178073647,9.7948716798,10.0222624768,11.1744924831,5.9596765811,6.9451066522,1.3563895479,7.6911645853,2.4260437713,-0.1482581569084214,-0.12340822147005649,0.1443232161649562,-1.3561597035140163,0.04655257642329941,-0.06221587813913999,-0.22570449116685826,-0.007709103341047694,0.1666812962413441,-0.13952211729679287,-0.02365256480951719
ACH-000093,1.0481128066,0.829965343,1.0424115686,1.1110063018,1.0579394069,0.8151322209,1.1127033367,0.6003688375,0.8270388771,1.0547579781,1.1020464247,-0.6909537723420001,0.513051791193,,,-0.043427279131500005,-0.8742265423610001,,,,-0.311056027549,0.0491360285785,7.6687330777,2.7356434601,8.35836751,8.8097815746,9.4177310832,11.0198103665,2.8504388803,7.5291099158,0.6880439051,8.4197777901,1.2251117273,0.45307063373459333,0.04816154380964372,0.051827224084439266,-0.8980476695453238,-0.2800291832148517,-0.11833547659087656,-0.3098827966658644,-0.013568335955769626,-0.6128892773485688,-0.5770755316557598,-0.2611938525627648
