,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-000573,0.6404553943,1.0996237713,0.6393203847,2.5466064073,1.3340141783,1.8929049899,0.6501610345,0.9895036952,1.294938875,2.0377682685,1.300537501,-0.430161164665,0.051570252577,-0.10706612283,-0.011950670983299999,0.00419750682917,-0.167835658089,-0.428071302143,0.034432058872,-0.0216849486555,-0.132985460627,0.042960587203299996,4.6389001105,6.7104675528,7.4304165556,10.897223795,10.416833154,11.1511808487,8.3847397911,7.0380265184,6.0164025866,6.734417238,1.6134995861,-0.017277768154787917,-0.17393747621287745,-0.03176907511105617,-0.7710337523762021,-0.03521120999555602,-0.027778394357772518,-0.05600806201388224,-0.029484117510064183,-0.26871851046588907,-0.6598774549059828,0.14022410946511607
ACH-000147,0.7222894484,0.777257749,0.7229195444,1.5399451866,1.4292804239,1.5200965918,1.514000834,0.7140108983,1.4203032564,1.0494154971,1.4688326162,-0.08988705618529999,-0.0832580784214,-0.051747300707900006,-0.143553399112,-0.0998871537796,-0.113414104199,-0.503430581818,0.0453851364817,-0.06505640226369999,0.098019064443,0.17940614664,8.1454205595,8.4338767704,6.2669049706,9.1562023408,10.2885663739,9.3078343347,1.3937479623,6.2348215755,0.48366683,6.6524891833,3.8868440867,0.03023260099320252,0.06837072093318675,0.1500356974842963,-0.2116072748589682,-0.38564688544721026,-0.004562160325536625,-0.14286352725705612,-0.057757156037681896,-0.1715081803968438,-0.4006865973889555,-0.07330443151536108
ACH-000624,0.786680103,0.9695753997,0.9313730226,2.3527385356,1.359181386,0.9013510448,0.9462517708,1.3756734009,0.5067738545,0.7789788158,1.0256055684,-0.45092436302,-0.201759537845,-0.137361176729,-0.004838773621380001,0.0320193837464,-0.566858844981,-0.383103785735,0.08633333688660001,-0.154869626208,-0.056718445826900006,0.0967902708607,4.6625349663,4.2630078797,6.9810898687,9.4255150455,8.6996259758,8.4846807124,7.0699438663,5.8909666986,1.0062242541,7.2743772048,1.6795851962,-0.013453500887768588,-0.07610297407435221,0.050430231204691645,-0.6761845478256716,-0.14448295653004994,-0.022241411834313753,-0.09206078621382839,0.08781458987143768,-0.7228745567673296,-0.6499072736107506,-0.018082201616981236
ACH-000111,1.1505295197,0.8724231754,0.82988078,1.7777260253,1.6293618112,3.1264382002,1.6056428236,0.8188068064,1.2224004673,0.8659484207,0.9077720664,-0.22903126318000003,-0.282232810012,-0.104130952468,0.0324553994515,0.186206773228,-0.5961561583280001,-0.361730416202,-0.07399213521919999,-0.0685721215559,0.39956537300399997,0.397182456508,7.8992285952,7.7365193643,7.6148182494,9.5302019489,10.4554217284,10.0916441633,7.2614030386,7.943978111,1.1200770703,5.9061483092,3.4805453863,0.18421936469369138,-0.04109410898750759,0.17959577134762136,-0.38963889901103776,-0.5403558595506885,-0.12143140832441575,-0.06337391732486211,0.1327506714827346,-0.08829131444933408,-0.04551794137440479,-0.08261751942369303
ACH-000768,1.0400198037,0.7773913715,0.6812144769,1.0767490122,1.2276318661,1.0557725049,1.3741476235,1.0056442241,1.2853978817,0.7225333075,1.1351807264,-0.12082950188899999,0.05177913164419999,-0.0351331096988,0.00209446322979,-0.043020309215799996,-0.206664231541,-0.7713838781039999,0.332922314672,-0.0134461478076,-0.184275247108,0.166808015589,6.8887189951,6.5922336043,8.8968632061,11.1387759487,10.8048399174,10.8729775793,3.826767761,8.4227424544,5.3641835193,7.6909640648,2.3281887681,-0.04569785218752051,-0.08088139159993665,0.23136558319464845,-0.20878072726425795,-0.0832060370159045,-0.0012142353071339738,-0.19752302183105117,0.013151798350551252,-0.7251409443499222,-1.0257111415829607,-0.06798574469241847
ACH-000711,1.169809816,0.8349993618,0.8137626667,1.6333794704,1.1208894528,0.8018281652,1.1776525869,0.7742868255,1.2083856862,1.2464534457,1.3484396925,-0.512239065955,-0.0212596559598,0.0296538102141,-0.141189161997,-0.166560496548,-0.12061387384700001,-0.429794698951,0.102931199747,-0.0668937055982,-0.0697872852404,-0.105612960636,7.532912556,3.229364561,8.7127565946,10.2645516353,10.0293012952,10.5657457625,5.1127686922,7.3806082211,2.8984251657,8.02260411,5.2153800721,-0.09187822019842554,-0.009253752079847112,0.20621735731450405,-1.1222622488778813,-0.16086469277010743,-0.009402534147499973,-0.13548828887521228,0.046065241990822174,-0.21894066972407206,-0.30406811682843626,-0.03975637230167069
ACH-000352,0.5531857889,0.6123850635,0.7246543907,1.1873193295,1.3283497008,1.401430306,0.8486967159,0.5645698535,1.1124989697,1.1717509788,0.9184327548,0.0639612760391,-0.190348504749,-0.0770808609252,-0.11548360747000001,0.0587893197342,-0.034030969345,-0.447908417087,0.07525385918380001,-0.08134746966289999,-0.021915684674700002,-0.023389733344900004,6.9936553221,7.1935930887,6.6457839784,9.306446892,10.6846073425,9.5205448254,2.7636416412,6.9407989807,3.1366454985,6.4609621153,4.0374470462,-0.15947596812855097,0.0921367301503176,0.30438383232683874,-0.14243543986073676,-0.12218495990785684,-0.13065614687219254,-0.374747080999983,-0.02932212393650454,-0.007004936243140025,-0.8978238931583805,-0.09512767272796419
ACH-000725,0.693280458,0.3671424914,0.6976034113,1.8736052195,1.0919577223,1.7476423844,0.6902194338,0.7492333377,1.059622953,0.7486612557,1.0827956524,-0.12236145047800001,-0.19016539088799997,-0.293240491777,-0.121749130298,0.18332872533599998,-0.248515171307,-0.26092288683000003,-0.0520032871636,-0.276393205053,-0.101031485653,0.262628151523,6.734842452,6.5268672176,6.5859416231,9.9240022806,10.4858796326,8.920657533,1.8325707955,6.3772003598,2.2731618918,5.1389603397,2.9610246176,-0.06133063053727948,-0.02327117573432022,0.12007707277260458,-0.339800405498231,-0.3899901816497682,0.01069391224319848,-0.43578997060182134,-0.08819439834882549,-0.19721417889474327,-0.2420857934104862,-0.032054111723074735
ACH-000783,1.0775030851,0.5612552733,1.0757329692,1.12014539,1.6585678129,1.6374036314,0.5670630272,0.5327859711,1.0734485165,1.3780612383,1.6905163858,-0.222709855327,-0.0159768364864,-0.274010696787,0.0327857457887,-0.0975173740361,0.054318749912199996,-0.6357073605319999,0.16812911766199998,0.09632279282400001,0.23687721166499998,-0.0528072661983,5.7523292905,7.9785995991,7.1747516644,9.0023268881,11.1374228044,9.621618231,1.5123497986,7.4900975312,0.857164043,7.0822296541,0.8632068589,-0.5046260693118345,0.0415192462174693,0.17613570766586506,-0.5628923824397232,-0.2474051511069773,-0.07710280545087374,-0.11556957170538165,-0.1465737256310873,-0.38964233816523164,-1.5699509434896037,0.042003071098044416
ACH-001395,0.624663007,1.2089201862,0.6221192272,1.1841443831,0.6957220737,1.1979178705,0.6190856826,0.6090117634,0.6192753816,1.0877786385,1.1639765554,-0.353981879387,-0.0804481977161,-0.118591277205,0.104942590362,-0.12120210921599998,-0.645156405415,-0.6936006841869999,-0.094920938114,0.029296343700900004,0.07137168370069999,-0.012947371838200002,4.6297652371,6.7104764741,4.1645810889,9.4100836182,8.9037873084,8.452550375,1.5314055307,5.5465355211,5.427706322,6.6444741575,2.5234992828,,,,,,,,,,,
