,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-002377,1.0206738956,1.0731018416,1.0057146295,1.0076069652,0.9910913888,0.9987011932,0.9910913888,1.0232452715,0.9881294776,0.9713438522,0.9816631737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000125,1.0206597461,0.9989171976,0.9924896758,1.0044042233,1.0173703822,1.0073555654,1.0080785089,1.0080177198,1.0094531815,0.9939429831,1.0095049606,,,,,,,,,,,,8.5367019568,8.2579417447,8.378413005,10.4328738312,10.1893793439,11.4321600535,6.8728514531,8.9042411824,7.4436460182,5.9327389153,10.4504521495,,,,,,,,,,,
ACH-000240,1.0091579515,0.9993306439,1.0014649989,1.0040429605,1.0076272196,1.0042176591,1.008251813,0.9961383279,0.9994581058,1.0040805425,1.000896641,,,,,,,,,,,,8.0004518323,8.2920365123,8.0046925387,10.6170057931,10.5442017314,11.6869469053,6.82824665,8.3614028821,7.7013841736,4.9836023009,10.5933795175,,,,,,,,,,,
ACH-002366,1.0163173775,1.1415642024,0.9946652637,1.0107561628,1.3926618481,0.9905220525,1.3926618481,1.0699015136,1.0148693409,0.9601202419,0.9573776289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-001767,1.0041571028,1.0181979034,1.0048478006,1.0148524582,1.0316045204,1.0157103165,1.0316045204,1.0130693938,1.0189406347,1.0115726946,1.0323248309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000079,1.0044787195,0.992250301,1.0005498168,0.9984603203,0.9965223035,0.9996978335,0.9965223035,1.0020065922,0.9985212252,1.0003570345,0.9985108435,,,,,,,,,,,,7.7041096551,7.0624573785,6.6727831651,10.3778068621,9.6980007686,11.8755682352,5.9436432914,7.2273804859,6.0722512416,4.6286773392,11.072519193,,,,,,,,,,,
ACH-002355,1.0079750997,1.1387436428,0.9918624714,1.0073499794,1.3147231194,0.9849087686,1.3147231194,1.0637056635,0.991600566,0.9699948549,0.9456387107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002346,0.9992703823,1.0008328164,1.0002044993,0.9998703899,0.9998807858,0.9998516775,0.9998807858,0.9999840577,0.9978625423,0.9993999147,0.9994213896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002371,0.9994560275,0.9919030352,0.9993313366,0.9997040699,1.0059844466,0.999843361,1.0059844466,0.9961576613,1.0009042725,0.9994179258,1.0046514047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000224,1.0226390342,0.9899187346,0.9997116923,1.0049272056,1.0029481333,0.9997380247,1.0052602176,1.0079192073,0.9957365552,0.9930911187,0.996040286,,,,,,,,,,,,8.5646718505,8.5270485019,8.4392175315,11.0659147137,10.5779017697,12.5685418275,6.9479878347,8.8818676734,8.0917076515,5.2217955922,11.5320085164,,,,,,,,,,,
ACH-000131,1.0171666034,0.970494539,1.0087411386,1.0032095591,1.0114352749,1.0100053955,1.0021760738,1.0096715114,1.004392388,1.0108381366,0.9974801245,,,,,,,,,,,,6.5503511053,8.5457630195,7.8486870347,11.4900258095,11.169658724,12.2996232982,7.2896682134,7.9312206638,6.3476791698,7.1411026602,10.6332974115,,,,,,,,,,,
ACH-002370,1.0274505782,0.5541744106,1.0190847252,0.5117137837,0.9991664915,1.0119022976,0.9991664915,1.0156230197,1.024092478,0.9792030793,1.0012297054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002210,1.0334266546,1.0884740402,1.0157574881,1.0189582918,0.9829854723,1.0155864136,0.9941882791,0.5383442799,1.4486529363,0.9708565167,0.9843429838,,,,,,,,,,,,,,,,,,,,,,,0.09225551866513734,-0.060585498285754096,0.2551388293956291,-2.0371955582414936,-0.1765620039040139,0.07045956619823839,0.11451037068722952,-0.1755209191902472,-0.31059875306253204,-1.4144566355821708,-0.06325912146004006
ACH-000529,1.0099689919,0.992140263,0.9869281753,0.998881886,0.9988133435,0.9999909891,0.99405391,1.0177166881,0.9981295609,0.9955785138,0.9978971262,,,,,,,,,,,,7.599036054,8.2380714552,7.8491506775,10.7055723384,10.1055252186,12.2640429578,6.7072716763,8.688069418,6.9359309069,5.6600557948,11.055631156,,,,,,,,,,,
ACH-002462,1.0003778366,1.0002211384,0.9954370569,1.0078598249,1.0136573109,1.0091236768,0.990530978,0.9724277709,0.9914741062,1.0051354994,1.0078102259,,,,,,,,,,,,5.5654623093,7.8919402722,9.263412168,11.1341286963,10.9080449344,11.97554683,7.1453825171,9.2073200411,6.0488507659,8.1049372307,8.3443953744,0.01664682691915045,0.043719294204557564,0.1615548627478159,-0.00999167685761615,-0.23624502109087867,-0.09740000352809615,-0.05481334201109542,-0.1110862820403366,-0.6338008524305259,-0.9820191220575063,-0.07426510191267588
ACH-002467,0.9805587657,0.9676022304,1.834401492,1.4690179252,0.9884925514,0.9981786835,0.9625137129,0.9497646727,0.9704252538,0.9832164783,0.9834734426,,,,,,,,,,,,5.636759787,8.0899755037,9.1814223142,11.0172960762,10.964141507,12.091132037,7.0416309491,10.4264288936,5.5321237511,7.6925832286,10.858663228,-0.0335549589404584,0.17952364080554473,0.5253151626655627,-0.015421729047779054,-0.29307678143869287,-0.12380774358429282,-0.014661740150711283,-0.41645885177435427,-0.807504285909153,-0.5397034332935892,-0.1555432141020738
ACH-002369,0.9986561982,1.0303539349,0.9709534258,1.0048686961,0.9814352538,1.0034759218,0.9919649152,0.9967254008,1.0442926023,0.9974358758,0.997361902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002381,1.0148651202,1.0820588761,0.9939836319,1.0043624522,0.9870670546,0.990009998,1.0962106074,1.0204850166,0.9974780503,0.958467222,0.9852679273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002363,1.4258270536,0.4939883762,1.037891044,1.1382204459,0.6265402071,4.5596370831,0.679121212,1.290938256,0.7444825816,1.0590560902,1.0050630445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
